timestamp_ns,seq,real,imag
1775059750377190847,9980,0x555C000A,0xAAAC0005
1775059750377202306,9981,0x555C000A,0xAAAC0005
1775059750377213921,9982,0x555C000A,0xAAAC0005
1775059750377225537,9983,0x555C000A,0xAAAC0005
1775059750377236840,9984,0x555C000A,0xAAAC0005
1775059750377248247,9985,0x555C000A,0xAAAC0005
1775059750377259810,9986,0x555C000A,0xAAAC0005
1775059750377271321,9987,0x555C000A,0xAAAC0005
1775059750377282884,9988,0x555C000A,0xAAAC0005
1775059750377294499,9989,0x555C000A,0xAAAC0005
1775059750377305959,9990,0x555C000A,0xAAAC0005
1775059750377317418,9991,0x555C000A,0xAAAC0005
1775059750377328825,9992,0x555C000A,0xAAAC0005
1775059750377340388,9993,0x555C000A,0xAAAC0005
1775059750377351847,9994,0x555C000A,0xAAAC0005
1775059750377659314,9995,0x555C000A,0xAAAC0005
1775059750377671346,9996,0x555C000A,0xAAAC0005
1775059750377682857,9997,0x555C000A,0xAAAC0005
1775059750377694368,9998,0x555C000A,0xAAAC0005
1775059750377706505,9999,0x555C000A,0xAAAC0005
1775059750377718068,10000,0x555C000A,0xAAAC0005
1775059750377729631,10001,0x555C000A,0xAAAC0005
1775059750377741403,10002,0x555C000A,0xAAAC0005
1775059750377753122,10003,0x555C000A,0xAAAC0005
1775059750377764946,10004,0x555C000A,0xAAAC0005
1775059750377776405,10005,0x555C000A,0xAAAC0005
1775059750377788020,10006,0x555C000A,0xAAAC0005
1775059750377799740,10007,0x555C000A,0xAAAC0005
1775059750377811355,10008,0x555C000A,0xAAAC0005
1775059750377822970,10009,0x555C000A,0xAAAC0005
1775059750377834481,10010,0x555C000A,0xAAAC0005
1775059750377846097,10011,0x555C000A,0xAAAC0005
1775059750377858024,10012,0x555C000A,0xAAAC0005
1775059750377869431,10013,0x555C000A,0xAAAC0005
1775059750377881099,10014,0x555C000A,0xAAAC0005
1775059750377892818,10015,0x555C000A,0xAAAC0005
1775059750377904486,10016,0x555C000A,0xAAAC0005
1775059750377916153,10017,0x555C000A,0xAAAC0005
1775059750377927768,10018,0x555C000A,0xAAAC0005
1775059750377939436,10019,0x555C000A,0xAAAC0005
1775059750377951051,10020,0x555C000A,0xAAAC0005
1775059750377963239,10021,0x555C000A,0xAAAC0005
1775059750377975636,10022,0x555C000A,0xAAAC0005
1775059750377987095,10023,0x555C000A,0xAAAC0005
1775059750377998815,10024,0x555C000A,0xAAAC0005
1775059750378010326,10025,0x555C000A,0xAAAC0005
1775059750378021837,10026,0x555C000A,0xAAAC0005
1775059750378033192,10027,0x555C000A,0xAAAC0005
1775059750378044807,10028,0x555C000A,0xAAAC0005
1775059750378056370,10029,0x555C000A,0xAAAC0005
1775059750378071580,10030,0x555C000A,0xAAAC0005
1775059750378083872,10031,0x555C000A,0xAAAC0005
1775059750378095331,10032,0x555C000A,0xAAAC0005
1775059750378107207,10033,0x555C000A,0xAAAC0005
1775059750378118770,10034,0x555C000A,0xAAAC0005
1775059750378130229,10035,0x555C000A,0xAAAC0005
1775059750378141792,10036,0x555C000A,0xAAAC0005
1775059750378153147,10037,0x555C000A,0xAAAC0005
1775059750378165440,10038,0x555C000A,0xAAAC0005
1775059750378176847,10039,0x555C000A,0xAAAC0005
1775059750378188202,10040,0x555C000A,0xAAAC0005
1775059750378199608,10041,0x555C000A,0xAAAC0005
1775059750378211120,10042,0x555C000A,0xAAAC0005
1775059750378222891,10043,0x555C000A,0xAAAC0005
1775059750378234402,10044,0x555C000A,0xAAAC0005
1775059750378245913,10045,0x555C000A,0xAAAC0005
1775059750378257268,10046,0x555C000A,0xAAAC0005
1775059750378268832,10047,0x555C000A,0xAAAC0005
1775059750378280551,10048,0x555C000A,0xAAAC0005
1775059750378292583,10049,0x555C000A,0xAAAC0005
1775059750378304511,10050,0x555C000A,0xAAAC0005
1775059750378315970,10051,0x555C000A,0xAAAC0005
1775059750378328158,10052,0x555C000A,0xAAAC0005
1775059750378339461,10053,0x555C000A,0xAAAC0005
1775059750378351076,10054,0x555C000A,0xAAAC0005
1775059750378362535,10055,0x555C000A,0xAAAC0005
1775059750378374828,10056,0x555C000A,0xAAAC0005
1775059750378386183,10057,0x555C000A,0xAAAC0005
1775059750378397902,10058,0x555C000A,0xAAAC0005
1775059750378409257,10059,0x555C000A,0xAAAC0005
1775059750378420716,10060,0x555C000A,0xAAAC0005
1775059750378432123,10061,0x555C000A,0xAAAC0005
1775059750378443634,10062,0x555C000A,0xAAAC0005
1775059750378455458,10063,0x555C000A,0xAAAC0005
1775059750378467229,10064,0x555C000A,0xAAAC0005
1775059750378478532,10065,0x555C000A,0xAAAC0005
1775059750378490408,10066,0x555C000A,0xAAAC0005
1775059750378502128,10067,0x555C000A,0xAAAC0005
1775059750378513587,10068,0x555C000A,0xAAAC0005
1775059750378525098,10069,0x555C000A,0xAAAC0005
1775059750378536401,10070,0x555C000A,0xAAAC0005
1775059750378547964,10071,0x555C000A,0xAAAC0005
1775059750378559735,10072,0x555C000A,0xAAAC0005
1775059750378574320,10073,0x555C000A,0xAAAC0005
1775059750378586195,10074,0x555C000A,0xAAAC0005
1775059750378597706,10075,0x555C000A,0xAAAC0005
1775059750378609218,10076,0x555C000A,0xAAAC0005
1775059750378622916,10077,0x555C000A,0xAAAC0005
1775059750378634688,10078,0x555C000A,0xAAAC0005
1775059750378647032,10079,0x555C000A,0xAAAC0005
1775059750378658283,10080,0x555C000A,0xAAAC0005
1775059750378669690,10081,0x555C000A,0xAAAC0005
1775059750378681201,10082,0x555C000A,0xAAAC0005
1775059750378692608,10083,0x555C000A,0xAAAC0005
1775059750378705109,10084,0x555C000A,0xAAAC0005
1775059750378716829,10085,0x555C000A,0xAAAC0005
